strain	strain_link	taxa_link	class	environment	scientific_name
K-0001	https://norcca.scrol.net/strain/k-0001	https://norcca.scrol.net/species/pyramimonas-octopus	Pyramimonadophyceae	Marine, Salt Marsh	Pyramimonas octopus
K-0002	https://norcca.scrol.net/strain/k-0002	https://norcca.scrol.net/species/pyramimonas-tetrarhynchus	Pyramimonadophyceae	Freshwater, Village pond with Cladophora fracta	Pyramimonas tetrarhynchus
K-0003	https://norcca.scrol.net/strain/k-0003	https://norcca.scrol.net/species/pyramimonas-orientalis	Pyramimonadophyceae	Marine	Pyramimonas orientalis
K-0004	https://norcca.scrol.net/strain/k-0004	https://norcca.scrol.net/species/pyramimonas-grossii	Pyramimonadophyceae	Marine	Pyramimonas grossii
K-0006	https://norcca.scrol.net/strain/k-0006	https://norcca.scrol.net/species/pyramimonas-parkeae	Pyramimonadophyceae	Marine	Pyramimonas parkeae
K-0011	https://norcca.scrol.net/strain/k-0011	https://norcca.scrol.net/species/tetraselmis-contracta	Chlorodendrophyceae	Brackish, Salt marsh	Tetraselmis contracta
K-0012	https://norcca.scrol.net/strain/k-0012	https://norcca.scrol.net/species/tetraselmis-sp	Chlorodendrophyceae	Marine	Tetraselmis sp.
K-0013	https://norcca.scrol.net/strain/k-0013	https://norcca.scrol.net/species/pavlova-sp	Pavlovophyceae	Marine, Sea water, 13°C	Pavlova sp.
K-0018	https://norcca.scrol.net/strain/k-0018	https://norcca.scrol.net/species/stigeoclonium-sp	Chlorophyceae	Freshwater, Pond	Stigeoclonium sp.
K-0019	https://norcca.scrol.net/strain/k-0019	https://norcca.scrol.net/species/nephroselmis-olivacea	Nephroselmidophyceae	Freshwater	Nephroselmis olivacea
K-0020	https://norcca.scrol.net/strain/k-0020	https://norcca.scrol.net/species/nephroselmis-olivacea	Nephroselmidophyceae	Freshwater	Nephroselmis olivacea
K-0023	https://norcca.scrol.net/strain/k-0023	https://norcca.scrol.net/species/micromonas-pusilla	Mamiellophyceae	Marine	Micromonas pusilla
K-0024	https://norcca.scrol.net/strain/k-0024	https://norcca.scrol.net/species/micromonas-pusilla	Mamiellophyceae	Marine	Micromonas pusilla
K-0026	https://norcca.scrol.net/strain/k-0026	https://norcca.scrol.net/species/eutreptiella-braarudii	Euglenophyceae	Marine	Eutreptiella braarudii
K-0037	https://norcca.scrol.net/strain/k-0037	https://norcca.scrol.net/species/botrytella-micromora	Phaeophyceae	Marine, On jetty (sublittoral)	Botrytella micromora
K-0038	https://norcca.scrol.net/strain/k-0038	https://norcca.scrol.net/species/myriotrichia-claviformis	Phaeophyceae	Marine, Epiphyte	Myriotrichia claviformis
K-0039	https://norcca.scrol.net/strain/k-0039	https://norcca.scrol.net/species/delamarea-attenuata	Phaeophyceae	Marine, On jetty (sublittoral)	Delamarea attenuata
K-0065	https://norcca.scrol.net/strain/k-0065	https://norcca.scrol.net/species/stragularia-clavata	Phaeophyceae	Marine, On stone (upper sublittoral)	Stragularia clavata
K-0068	https://norcca.scrol.net/strain/k-0068	https://norcca.scrol.net/species/feldmannia-simplex	Phaeophyceae	Marine, On/in Codium	Feldmannia simplex
K-0069	https://norcca.scrol.net/strain/k-0069	https://norcca.scrol.net/species/feldmannia-mitchelliae	Phaeophyceae	Marine, Littoral pool	Feldmannia mitchelliae
K-0070	https://norcca.scrol.net/strain/k-0070	https://norcca.scrol.net/species/giraudya-sphacelarioides	Phaeophyceae	Marine, Littoral pool	Giraudya sphacelarioides
K-0071	https://norcca.scrol.net/strain/k-0071	https://norcca.scrol.net/species/compsonema-minutum	Phaeophyceae	Marine	Compsonema minutum
K-0072	https://norcca.scrol.net/strain/k-0072	https://norcca.scrol.net/species/pogotrichum-filiforme	Phaeophyceae	Marine, Epiphyte on Laminaria nigripes	Pogotrichum filiforme
K-0075	https://norcca.scrol.net/strain/k-0075	https://norcca.scrol.net/species/heterosigma-akashiwo	Raphidophyceae	Marine	Heterosigma akashiwo
K-0077	https://norcca.scrol.net/strain/k-0077	https://norcca.scrol.net/species/apedinella-radians	Dictyochophyceae	Marine	Apedinella radians
K-0078	https://norcca.scrol.net/strain/k-0078	https://norcca.scrol.net/species/apedinella-radians	Dictyochophyceae	Marine	Apedinella radians
K-0081	https://norcca.scrol.net/strain/k-0081	https://norcca.scrol.net/species/prymnesium-parvum	Prymnesiophyceae	Brackish	Prymnesium parvum
K-0082	https://norcca.scrol.net/strain/k-0082	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum	Prymnesiophyceae	Brackish	Prymnesium parvum f. patelliferum
K-0083	https://norcca.scrol.net/strain/k-0083	https://norcca.scrol.net/species/chlamydomonas-geitleri	Chlorophyceae	Freshwater	Chlamydomonas geitleri
K-0084	https://norcca.scrol.net/strain/k-0084	https://norcca.scrol.net/species/haematococcus-lacustris	Chlorophyceae	Freshwater	Haematococcus lacustris
K-0087	https://norcca.scrol.net/strain/k-0087	https://norcca.scrol.net/species/tribonema-aequale	Xanthophyceae	Freshwater, Lagg and open water in bog	Tribonema aequale
K-0093	https://norcca.scrol.net/strain/k-0093	https://norcca.scrol.net/species/oedogonium-fragile	Chlorophyceae	Brackish, Dry ditch with sandy mud	Oedogonium fragile
K-0094	https://norcca.scrol.net/strain/k-0094	https://norcca.scrol.net/species/oedogonium-vaucheri	Chlorophyceae	Freshwater, On straw in ditch	Oedogonium vaucheri
K-0095	https://norcca.scrol.net/strain/k-0095	https://norcca.scrol.net/species/mesotaenium-caldariorum	Zygnematophyceae	Terrestrial, On soil between Vaucheria pseudogeminata	Mesotaenium caldariorum
K-0096	https://norcca.scrol.net/strain/k-0096	https://norcca.scrol.net/species/phaeostroma-pustulosum	Phaeophyceae	Marine, Epiphyte on Chaetomorpha, 2m depth	Phaeostroma pustulosum
K-0097	https://norcca.scrol.net/strain/k-0097	https://norcca.scrol.net/species/kuckuckia-spinosa	Phaeophyceae	Marine, Littoral tide pool	Kuckuckia spinosa
K-0099	https://norcca.scrol.net/strain/k-0099	https://norcca.scrol.net/species/pylaiella-varia	Phaeophyceae	Marine, Epiphyte, on stipes of Laminaria longicruris	Pylaiella varia
K-0100	https://norcca.scrol.net/strain/k-0100	https://norcca.scrol.net/species/coelocladia-arctica	Phaeophyceae	Marine	Coelocladia arctica
K-0112	https://norcca.scrol.net/strain/k-0112	https://norcca.scrol.net/species/scytosiphon-lomentaria	Phaeophyceae	Marine	Scytosiphon lomentaria
K-0113	https://norcca.scrol.net/strain/k-0113	https://norcca.scrol.net/species/pseudanabaena-sp	Cyanophyceae	Brackish, Salt marsh	Pseudanabaena sp.
K-0117	https://norcca.scrol.net/strain/k-0117	https://norcca.scrol.net/species/petalonia-fascia	Phaeophyceae	Marine, Littoral zone, on rock	Petalonia fascia
K-0143	https://norcca.scrol.net/strain/k-0143	https://norcca.scrol.net/species/schizomeris-sp	Chlorophyceae	Freshwater	Schizomeris sp.
K-0148	https://norcca.scrol.net/strain/k-0148	https://norcca.scrol.net/species/klebsormidium-sp	Klebsormidiophyceae	Freshwater	Klebsormidium sp.
K-0162	https://norcca.scrol.net/strain/k-0162	https://norcca.scrol.net/species/tribonema-minus	Xanthophyceae	Freshwater	Tribonema minus
K-0173	https://norcca.scrol.net/strain/k-0173	https://norcca.scrol.net/species/tribonema-regulare	Xanthophyceae	Freshwater, Phragmites swamp	Tribonema regulare
K-0183	https://norcca.scrol.net/strain/k-0183	https://norcca.scrol.net/species/scytosiphon-lomentaria	Phaeophyceae	Marine, On smaller stones and mussel shells	Scytosiphon lomentaria
K-0187	https://norcca.scrol.net/strain/k-0187	https://norcca.scrol.net/species/planctonema-lauterbornii	Trebouxiophyceae	Freshwater	Planctonema lauterbornii
K-0195	https://norcca.scrol.net/strain/k-0195	https://norcca.scrol.net/species/aphanochaete-sp	Chlorophyceae	Brackish, Epiphyte on Pilayella littoralis	Aphanochaete sp.
K-0207	https://norcca.scrol.net/strain/k-0207	https://norcca.scrol.net/species/pseudendoclonium-basiliense-vischer-var-brandii	Ulvophyceae	Brackish, Epiphyte on Potamogeton pectinatus	Pseudendoclonium basiliense Vischer var. brandii
K-0208	https://norcca.scrol.net/strain/k-0208	https://norcca.scrol.net/species/pseudendoclonium-basiliense-vischer-var-brandii	Ulvophyceae	Brackish, Epiphyte on Zostera marina	Pseudendoclonium basiliense Vischer var. brandii
K-0211	https://norcca.scrol.net/strain/k-0211	https://norcca.scrol.net/species/hyella-balani	Cyanophyceae	Marine, In calcareous shell	Hyella balani
K-0212	https://norcca.scrol.net/strain/k-0212	https://norcca.scrol.net/species/hyella-sp	Cyanophyceae	Marine, In calcareous shell	Hyella sp.
K-0219	https://norcca.scrol.net/strain/k-0219	https://norcca.scrol.net/species/ulvella-heteroclada	Ulvophyceae	Marine, Epiphyte on Chondrus crispus	Ulvella heteroclada
K-0220	https://norcca.scrol.net/strain/k-0220	https://norcca.scrol.net/species/ulvella-endostraca	Ulvophyceae	Marine, In calcareous shell	Ulvella endostraca
K-0224	https://norcca.scrol.net/strain/k-0224	https://norcca.scrol.net/species/punctaria-latifolia	Phaeophyceae	Marine, Sublittoral	Punctaria latifolia
K-0241	https://norcca.scrol.net/strain/k-0241	https://norcca.scrol.net/species/pyramimonas-mitra	Pyramimonadophyceae	Marine	Pyramimonas mitra
K-0243	https://norcca.scrol.net/strain/k-0243	https://norcca.scrol.net/species/tetraselmis-verrucosa	Chlorodendrophyceae	Marine	Tetraselmis verrucosa
K-0249	https://norcca.scrol.net/strain/k-0249	https://norcca.scrol.net/species/pycnococcus-provasolii	Prasinophyceae	Marine	Pycnococcus provasolii
K-0250	https://norcca.scrol.net/strain/k-0250	https://norcca.scrol.net/species/oltmannsiellopsis-unicellularis	Ulvophyceae	Marine	Oltmannsiellopsis unicellularis
K-0251	https://norcca.scrol.net/strain/k-0251	https://norcca.scrol.net/species/nephroselmis-rotunda	Nephroselmidophyceae	Marine	Nephroselmis rotunda
K-0252	https://norcca.scrol.net/strain/k-0252	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum	Prymnesiophyceae	Marine	Prymnesium parvum f. patelliferum
K-0253	https://norcca.scrol.net/strain/k-0253	https://norcca.scrol.net/species/pyramimonas-grossii	Pyramimonadophyceae	Marine	Pyramimonas grossii
K-0254	https://norcca.scrol.net/strain/k-0254	https://norcca.scrol.net/species/pyramimonas-mantoniae	Pyramimonadophyceae	Marine	Pyramimonas mantoniae
K-0255	https://norcca.scrol.net/strain/k-0255	https://norcca.scrol.net/species/pyramimonas-cirolanae	Pyramimonadophyceae	Marine	Pyramimonas cirolanae
K-0258	https://norcca.scrol.net/strain/k-0258	https://norcca.scrol.net/species/pyramimonas-olivacea	Pyramimonadophyceae	Marine	Pyramimonas olivacea
K-0261	https://norcca.scrol.net/strain/k-0261	https://norcca.scrol.net/species/pyramimonas-gorlestonae	Pyramimonadophyceae	Marine	Pyramimonas gorlestonae
K-0262	https://norcca.scrol.net/strain/k-0262	https://norcca.scrol.net/species/cyanophora-paradoxa	Glaucophyceae	Freshwater	Cyanophora paradoxa
K-0264	https://norcca.scrol.net/strain/k-0264	https://norcca.scrol.net/species/pedinomonas-minor	Pedinophyceae	Freshwater	Pedinomonas minor
K-0265	https://norcca.scrol.net/strain/k-0265	https://norcca.scrol.net/species/pyramimonas-moestrupii	Pyramimonadophyceae	Marine	Pyramimonas moestrupii
K-0268	https://norcca.scrol.net/strain/k-0268	https://norcca.scrol.net/species/pyramimonas-parkeae	Pyramimonadophyceae	Marine, Rock pool	Pyramimonas parkeae
K-0269	https://norcca.scrol.net/strain/k-0269	https://norcca.scrol.net/species/nephroselmis-rotunda	Nephroselmidophyceae	Marine	Nephroselmis rotunda
K-0274	https://norcca.scrol.net/strain/k-0274	https://norcca.scrol.net/species/pyramimonas-formosa	Pyramimonadophyceae	Marine	Pyramimonas formosa
K-0280	https://norcca.scrol.net/strain/k-0280	https://norcca.scrol.net/species/dicrateria-rotunda	Prymnesiophyceae	Marine	Dicrateria rotunda
K-0282	https://norcca.scrol.net/strain/k-0282	https://norcca.scrol.net/species/thalassiosira-gravida	Mediophyceae	Marine	Thalassiosira gravida
K-0284	https://norcca.scrol.net/strain/k-0284	https://norcca.scrol.net/species/mantoniella-squamata	Mamiellophyceae	Marine	Mantoniella squamata
K-0284A	https://norcca.scrol.net/strain/k-0284a	https://norcca.scrol.net/species/mantoniella-squamata	Mamiellophyceae	Marine	Mantoniella squamata
K-0285	https://norcca.scrol.net/strain/k-0285	https://norcca.scrol.net/species/pyramimonas-disomata	Pyramimonadophyceae	Marine	Pyramimonas disomata
K-0288	https://norcca.scrol.net/strain/k-0288	https://norcca.scrol.net/species/ulvella-scutata	Ulvophyceae	Marine, Epiphyte on Rhodomela confervoides, drift	Ulvella scutata
K-0289	https://norcca.scrol.net/strain/k-0289	https://norcca.scrol.net/species/ulvella-scutata	Ulvophyceae	Marine, Epiphyte on Polysiphonia urceolata	Ulvella scutata
K-0292	https://norcca.scrol.net/strain/k-0292	https://norcca.scrol.net/species/leptolyngbya-ectocarpi	Cyanophyceae	Marine, Small reefs 4-6m	Leptolyngbya ectocarpi
K-0293	https://norcca.scrol.net/strain/k-0293	https://norcca.scrol.net/species/pyramimonas-propulsa	Pyramimonadophyceae	Marine	Pyramimonas propulsa
K-0295	https://norcca.scrol.net/strain/k-0295	https://norcca.scrol.net/species/prorocentrum-cordatum	Dinophyceae	Marine	Prorocentrum cordatum
K-0296	https://norcca.scrol.net/strain/k-0296	https://norcca.scrol.net/species/tetraselmis-sp	Chlorodendrophyceae	Marine	Tetraselmis sp.
K-0297	https://norcca.scrol.net/strain/k-0297	https://norcca.scrol.net/species/tetraselmis-suecica	Chlorodendrophyceae	Marine	Tetraselmis suecica
K-0298	https://norcca.scrol.net/strain/k-0298	https://norcca.scrol.net/species/tetraselmis-aff-maculata	Chlorodendrophyceae	Marine	Tetraselmis aff. maculata
K-0299	https://norcca.scrol.net/strain/k-0299	https://norcca.scrol.net/species/callithamnion-corymbosum	Florideophyceae	Marine	Callithamnion corymbosum
K-0302	https://norcca.scrol.net/strain/k-0302	https://norcca.scrol.net/species/ulvella-scutata	Ulvophyceae	Marine, Epiphyte on Rhodomela confervoides	Ulvella scutata
K-0332	https://norcca.scrol.net/strain/k-0332	https://norcca.scrol.net/species/rhodomonas-baltica	Cryptophyceae	Marine	Rhodomonas baltica
K-0334	https://norcca.scrol.net/strain/k-0334	https://norcca.scrol.net/species/eutreptiella-gymnastica	Euglenophyceae	Marine	Eutreptiella gymnastica
K-0336	https://norcca.scrol.net/strain/k-0336	https://norcca.scrol.net/species/prorocentrum-cordatum	Dinophyceae	Marine	Prorocentrum cordatum
K-0338	https://norcca.scrol.net/strain/k-0338	https://norcca.scrol.net/species/ulvella-viridis	Ulvophyceae	Marine, Epiphyte on Derbesia balbisiana or Bryopsis disticha	Ulvella viridis
K-0339	https://norcca.scrol.net/strain/k-0339	https://norcca.scrol.net/species/tribonema-vulgare	Xanthophyceae	Freshwater, Glyceria-swamp	Tribonema vulgare
K-0340	https://norcca.scrol.net/strain/k-0340	https://norcca.scrol.net/species/tribonema-regulare	Xanthophyceae	Freshwater	Tribonema regulare
K-0355	https://norcca.scrol.net/strain/k-0355	https://norcca.scrol.net/species/prorocentrum-cordatum	Dinophyceae	Marine	Prorocentrum cordatum
K-0358	https://norcca.scrol.net/strain/k-0358	https://norcca.scrol.net/species/myrionema-strangulans	Phaeophyceae	Marine, Epiphyte on Laminaria sp.	Myrionema strangulans
K-0359	https://norcca.scrol.net/strain/k-0359	https://norcca.scrol.net/species/stictyosiphon-soriferus	Phaeophyceae	Marine, Stony reefs, depth c. 3m	Stictyosiphon soriferus
K-0360	https://norcca.scrol.net/strain/k-0360	https://norcca.scrol.net/species/syncoryne-reinkei	Ulvophyceae	Marine, Epiphyte on Halosaccion ramentaceum	Syncoryne reinkei
K-0361	https://norcca.scrol.net/strain/k-0361	https://norcca.scrol.net/species/litosiphon-laminariae	Phaeophyceae	Marine, Epiphyte on Acrothrix gracilis	Litosiphon laminariae
K-0364	https://norcca.scrol.net/strain/k-0364	https://norcca.scrol.net/species/vaucheria-coronata	Xanthophyceae	Brackish, On the verge of a large salt pan	Vaucheria coronata
K-0370	https://norcca.scrol.net/strain/k-0370	https://norcca.scrol.net/species/halothrix-lumbricalis	Phaeophyceae	Marine, Epiphyte on Zostera	Halothrix lumbricalis
K-0371	https://norcca.scrol.net/strain/k-0371	https://norcca.scrol.net/species/stictyosiphon-tortilis	Phaeophyceae	Marine	Stictyosiphon tortilis
K-0372	https://norcca.scrol.net/strain/k-0372	https://norcca.scrol.net/species/delamarea-attenuata	Phaeophyceae	Marine	Delamarea attenuata
K-0373	https://norcca.scrol.net/strain/k-0373	https://norcca.scrol.net/species/delamarea-attenuata	Phaeophyceae	Marine	Delamarea attenuata
K-0374	https://norcca.scrol.net/strain/k-0374	https://norcca.scrol.net/species/prymnesium-parvum-f-patelliferum	Prymnesiophyceae	Marine	Prymnesium parvum f. patelliferum
K-0377	https://norcca.scrol.net/strain/k-0377	https://norcca.scrol.net/species/tetraselmis-marina	Chlorodendrophyceae	Marine, On calcareous shells	Tetraselmis marina
K-0379	https://norcca.scrol.net/strain/k-0379	https://norcca.scrol.net/species/vaucheria-litorea	Xanthophyceae	Brackish, Waterfilled salt pan	Vaucheria litorea
K-0380	https://norcca.scrol.net/strain/k-0380	https://norcca.scrol.net/species/tetraselmis-sp	Chlorodendrophyceae	Marine	Tetraselmis sp.
K-0385	https://norcca.scrol.net/strain/k-0385	https://norcca.scrol.net/species/vaucheria-canalicularis	Xanthophyceae	Freshwater, The river Cam	Vaucheria canalicularis
K-0387	https://norcca.scrol.net/strain/k-0387	https://norcca.scrol.net/species/vaucheria-erythrospora	Xanthophyceae	Brackish, dry part of salt marsh	Vaucheria erythrospora
K-0388	https://norcca.scrol.net/strain/k-0388	https://norcca.scrol.net/species/vaucheria-synandra	Xanthophyceae	Brackish, Estuary	Vaucheria synandra
K-0392	https://norcca.scrol.net/strain/k-0392	https://norcca.scrol.net/species/trichothyra-irregularis	Ulvophyceae	Marine, Epiphyte on Cladophora sp.	Trichothyra irregularis
K-0394	https://norcca.scrol.net/strain/k-0394	https://norcca.scrol.net/species/prymnesium-nemamethecum	Prymnesiophyceae	Marine	Prymnesium nemamethecum
K-0399	https://norcca.scrol.net/strain/k-0399	https://norcca.scrol.net/species/apocalathium-malmogiense	Dinophyceae	Marine, Sea Ice	Apocalathium malmogiense
K-0400	https://norcca.scrol.net/strain/k-0400	https://norcca.scrol.net/species/vaucheria-bursata	Xanthophyceae	Freshwater	Vaucheria bursata
K-0404	https://norcca.scrol.net/strain/k-0404	https://norcca.scrol.net/species/haematococcus-sp	Chlorophyceae	Freshwater, Birdbath	Haematococcus sp.
K-0406	https://norcca.scrol.net/strain/k-0406	https://norcca.scrol.net/species/amphidinium-carterae	Dinophyceae	Marine, Sediment	Amphidinium carterae
K-0407	https://norcca.scrol.net/strain/k-0407	https://norcca.scrol.net/species/ulvella-viridis	Ulvophyceae	Marine, Epiphyte on Derbesia balbisiana or Bryopsis disticha	Ulvella viridis
K-0408	https://norcca.scrol.net/strain/k-0408	https://norcca.scrol.net/species/synechococcus-sp	Cyanophyceae	Marine	Synechococcus sp.
K-0417	https://norcca.scrol.net/strain/k-0417	https://norcca.scrol.net/species/bathycoccus-prasinos	Mamiellophyceae	Marine	Bathycoccus prasinos
K-0420	https://norcca.scrol.net/strain/k-0420	https://norcca.scrol.net/species/streblonema-zanardinii	Phaeophyceae	Marine, Epi-/endo-phyte on/in Chylocladia	Streblonema zanardinii
K-0421	https://norcca.scrol.net/strain/k-0421	https://norcca.scrol.net/species/chlorocystis-cohnii	Chlorophyceae	Marine, Epi-/endophyte on Polysiphonia violacea	Chlorocystis cohnii
K-0422	https://norcca.scrol.net/strain/k-0422	https://norcca.scrol.net/species/punctaria-tenuissima	Phaeophyceae	Marine, Epiphyte on Ceramium	Punctaria tenuissima
K-0425	https://norcca.scrol.net/strain/k-0425	https://norcca.scrol.net/species/scytosiphon-lomentaria	Phaeophyceae	Marine, On rock	Scytosiphon lomentaria
K-0426	https://norcca.scrol.net/strain/k-0426	https://norcca.scrol.net/species/scytosiphon-lomentaria	Phaeophyceae	Marine, On rock	Scytosiphon lomentaria
K-0427	https://norcca.scrol.net/strain/k-0427	https://norcca.scrol.net/species/ectocarpus-siliculosus	Phaeophyceae	Marine, Epiphyte on Chordaria flagelliformis	Ectocarpus siliculosus
K-0432	https://norcca.scrol.net/strain/k-0432	https://norcca.scrol.net/species/chroomonas-vectensis	Cryptophyceae	Marine/brackish	Chroomonas vectensis
K-0435	https://norcca.scrol.net/strain/k-0435	https://norcca.scrol.net/species/rhodomonas-marina	Cryptophyceae	Marine	Rhodomonas marina
K-0437	https://norcca.scrol.net/strain/k-0437	https://norcca.scrol.net/species/brachiomonas-submarina	Chlorophyceae	Brackish, In puddle on jetty	Brachiomonas submarina
K-0444	https://norcca.scrol.net/strain/k-0444	https://norcca.scrol.net/species/olisthodiscus-luteus	Raphidophyceae	Brackish	Olisthodiscus luteus
K-0448	https://norcca.scrol.net/strain/k-0448	https://norcca.scrol.net/species/ulvaria-fusca	Ulvophyceae	Marine, Littoral zone	Ulvaria fusca
K-0450	https://norcca.scrol.net/strain/k-0450	https://norcca.scrol.net/species/ostreobium-quekettii	Bryopsidophyceae	Marine, In shell of Pomatoceros triqueter	Ostreobium quekettii
K-0451	https://norcca.scrol.net/strain/k-0451	https://norcca.scrol.net/species/blastophysa-rhizopus	Bryopsidophyceae	Marine, Epiphyte on Gracilaria sp.	Blastophysa rhizopus
K-0454	https://norcca.scrol.net/strain/k-0454	https://norcca.scrol.net/species/blastophysa-rhizopus	Bryopsidophyceae	Marine, On small green algae	Blastophysa rhizopus
K-0455	https://norcca.scrol.net/strain/k-0455	https://norcca.scrol.net/species/blastophysa-rhizopus	Bryopsidophyceae	Marine, On Laminaria digitata	Blastophysa rhizopus
K-0457	https://norcca.scrol.net/strain/k-0457	https://norcca.scrol.net/species/blastophysa-rhizopus	Bryopsidophyceae	Marine, On Chondrus crispus	Blastophysa rhizopus
K-0458	https://norcca.scrol.net/strain/k-0458	https://norcca.scrol.net/species/blastophysa-rhizopus	Bryopsidophyceae	Marine, On mussel shell	Blastophysa rhizopus
K-0459	https://norcca.scrol.net/strain/k-0459	https://norcca.scrol.net/species/blastophysa-rhizopus	Bryopsidophyceae	Marine, On Dictyosphaeria cavernosa	Blastophysa rhizopus
K-0464	https://norcca.scrol.net/strain/k-0464	https://norcca.scrol.net/species/vaucheria-dillwynii	Xanthophyceae	Freshwater	Vaucheria dillwynii
K-0465	https://norcca.scrol.net/strain/k-0465	https://norcca.scrol.net/species/pavlova-sp	Pavlovophyceae	Marine	Pavlova sp.
K-0482	https://norcca.scrol.net/strain/k-0482	https://norcca.scrol.net/species/heterocapsa-triquetra	Dinophyceae	Marine	Heterocapsa triquetra
K-0483	https://norcca.scrol.net/strain/k-0483	https://norcca.scrol.net/species/heterocapsa-rotundata	Dinophyceae	Marine	Heterocapsa rotundata
K-0493	https://norcca.scrol.net/strain/k-0493	https://norcca.scrol.net/species/chlamydomonas-sp	Chlorophyceae	Marine	Chlamydomonas sp.
K-0499	https://norcca.scrol.net/strain/k-0499	https://norcca.scrol.net/species/scrippsiella-trochoidea-var-aciculifera	Dinophyceae	Marine	Scrippsiella trochoidea var. aciculifera
K-0501	https://norcca.scrol.net/strain/k-0501	https://norcca.scrol.net/species/bigelowiella-natans	Chlorarachniophyceae	Marine	Bigelowiella natans
K-0502	https://norcca.scrol.net/strain/k-0502	https://norcca.scrol.net/species/asperococcus-fistulosus	Phaeophyceae	Marine	Asperococcus fistulosus
K-0513	https://norcca.scrol.net/strain/k-0513	https://norcca.scrol.net/species/hemiselmis-sp	Cryptophyceae	Marine, Littoral Pool	Hemiselmis sp.
K-0515	https://norcca.scrol.net/strain/k-0515	https://norcca.scrol.net/species/porphyridium-purpureum	Rhodellophyceae	Brackish, Salt marsh	Porphyridium purpureum
K-0517	https://norcca.scrol.net/strain/k-0517	https://norcca.scrol.net/species/hincksia-ovata	Phaeophyceae	Marine, Epizoic on Boltenia	Hincksia ovata
K-0518	https://norcca.scrol.net/strain/k-0518	https://norcca.scrol.net/species/stylonema-alsidii	Stylonematophyceae	Marine, Epiphyte on Callithamnion sp.	Stylonema alsidii
K-0521	https://norcca.scrol.net/strain/k-0521	https://norcca.scrol.net/species/feldmannia-irregularis	Phaeophyceae	Marine, Epiphyte on Cystoseira abies-marina	Feldmannia irregularis
K-0524	https://norcca.scrol.net/strain/k-0524	https://norcca.scrol.net/species/tetraselmis-sp	Chlorodendrophyceae	Marine	Tetraselmis sp.
K-0540	https://norcca.scrol.net/strain/k-0540	https://norcca.scrol.net/species/microcystis-aeruginosa	Cyanophyceae	Freshwater	Microcystis aeruginosa
K-0544	https://norcca.scrol.net/strain/k-0544	https://norcca.scrol.net/species/dolichospermum-lemmermannii	Cyanophyceae	Freshwater	Dolichospermum lemmermannii
K-0545	https://norcca.scrol.net/strain/k-0545	https://norcca.scrol.net/species/microcystis-sp	Cyanophyceae	Freshwater	Microcystis sp.
K-0546	https://norcca.scrol.net/strain/k-0546	https://norcca.scrol.net/species/planktothrix-cf-agardhii	Cyanophyceae	Freshwater	Planktothrix cf. agardhii
K-0547	https://norcca.scrol.net/strain/k-0547	https://norcca.scrol.net/species/audouinella-pectinata	Florideophyceae	Marine	Audouinella pectinata
K-0557	https://norcca.scrol.net/strain/k-0557	https://norcca.scrol.net/species/nephroselmis-pyriformis	Nephroselmidophyceae	Marine	Nephroselmis pyriformis
K-0559	https://norcca.scrol.net/strain/k-0559	https://norcca.scrol.net/species/coelastrum-sp	Chlorophyceae	Freshwater	Coelastrum sp.
K-0562	https://norcca.scrol.net/strain/k-0562	https://norcca.scrol.net/species/haptolina-ericina	Prymnesiophyceae	Marine	Haptolina ericina
K-0563	https://norcca.scrol.net/strain/k-0563	https://norcca.scrol.net/species/prymnesium-kappa	Prymnesiophyceae	Marine	Prymnesium kappa
K-0568	https://norcca.scrol.net/strain/k-0568	https://norcca.scrol.net/species/vaucheria-prona	Xanthophyceae	Freshwater, On soil	Vaucheria prona
K-0569	https://norcca.scrol.net/strain/k-0569	https://norcca.scrol.net/species/planktothrix-rubescens	Cyanophyceae	Freshwater, Metalimnion 7,5 m	Planktothrix rubescens
K-0571	https://norcca.scrol.net/strain/k-0571	https://norcca.scrol.net/species/planktothrix-rubescens	Cyanophyceae	Freshwater, Metalimnion 7,5 m	Planktothrix rubescens
K-0574	https://norcca.scrol.net/strain/k-0574	https://norcca.scrol.net/species/planktothrix-rubescens	Cyanophyceae	Freshwater, Epilimnion	Planktothrix rubescens
K-0575	https://norcca.scrol.net/strain/k-0575	https://norcca.scrol.net/species/planktothrix-rubescens	Cyanophyceae	Freshwater, Epilimnion	Planktothrix rubescens
K-0576	https://norcca.scrol.net/strain/k-0576	https://norcca.scrol.net/species/planktothrix-rubescens	Cyanophyceae	Freshwater, Epilimnion	Planktothrix rubescens
K-0580	https://norcca.scrol.net/strain/k-0580	https://norcca.scrol.net/species/hincksia-hincksiae	Phaeophyceae	Marine, Subtidal, Epiphyte on Saccorhiza	Hincksia hincksiae
K-0581	https://norcca.scrol.net/strain/k-0581	https://norcca.scrol.net/species/chattonella-subsalsa	Raphidophyceae	Marine	Chattonella subsalsa
K-0582	https://norcca.scrol.net/strain/k-0582	https://norcca.scrol.net/species/brachiomonas-submarina	Chlorophyceae	Marine	Brachiomonas submarina
K-0583	https://norcca.scrol.net/strain/k-0583	https://norcca.scrol.net/species/vaucheria-bursata-sl	Xanthophyceae	FreshWater, Ditch	Vaucheria bursata s.l.
